Date,Open,High,Low,Close,Adj Close,Volume,Day
2015-01-22,53.91,54.389999,53.209999,54.369999,49.18568,615600,226
2015-01-23,54.34,54.689999,54.110001,54.220001,49.049976,244700,227
2015-01-26,54,54.889999,53.540001,54.549999,49.348515,602600,228
2015-01-27,54.049999,54.610001,53.82,54.279999,49.104259,416200,229
2015-01-28,54.5,54.5,53.830002,53.889999,48.751453,499200,230
2015-01-29,54.040001,54.529999,53.619999,54.5,49.303284,355800,231
2015-01-30,53.75,54.5,53.630001,53.82,48.688126,841600,232
2015-02-02,54.029999,54.439999,53.220001,54.360001,49.176624,682500,233
2015-02-03,54.5,54.98,54.41,54.830002,49.601822,437500,234
2015-02-04,54.720001,55.5,54.720001,55.130001,49.873211,518800,235
2015-02-05,54.990002,55.990002,54.790001,55.5,50.207939,394300,236
2015-02-06,55.720001,56.759998,55.580002,56.029999,50.687386,1078800,237
2015-02-09,55.970001,56.950001,55.889999,56.91,51.483475,835400,238
2015-02-10,57.099998,57.169998,56.540001,56.98,51.546803,786400,239
2015-02-11,56.959999,57.16,56.490002,56.580002,51.184948,643800,240
2015-02-12,56.709999,57.540001,56.549999,57.200001,51.745838,623000,241
2015-02-13,57.07,57.43,57,57.200001,51.745838,945000,242
2015-02-17,57.02,57.470001,57.02,57.349998,51.881523,603100,243
2015-02-18,57,57.32,56.57,57.32,52.017651,831300,244
2015-02-19,57.32,57.889999,57.310001,57.799999,52.453236,449900,245
2015-02-20,57.720001,58.09,57.299999,58.029999,52.661957,396700,246
2015-02-23,58.080002,58.119999,57.509998,57.610001,52.280819,424900,247
2015-02-24,57.720001,57.91,57.41,57.650002,52.317131,328200,248
2015-02-25,57.720001,57.73,57.150002,57.23,51.935974,408500,249
2015-02-26,57.290001,57.290001,56.700001,56.790001,51.536674,592000,250
2015-02-27,56.77,57.150002,56.080002,56.110001,50.919579,747800,251
2015-03-02,56.240002,57.66,56.130001,57.57,52.244511,504400,252
2015-03-03,57.529999,57.549999,57.220001,57.32,52.017651,346800,253
2015-03-04,57.220001,57.34,56.650002,56.779999,51.527596,507400,254
2015-03-05,56.650002,56.950001,55.18,55.400002,50.275253,1095800,255
2015-03-06,55.259998,56.02,55.209999,55.450001,50.320637,725200,256
2015-03-09,55.450001,55.889999,55.220001,55.66,50.511208,593300,257
2015-03-10,55.110001,55.150002,54.630001,54.720001,49.658161,643400,258
2015-03-11,54.900002,56.040001,54.84,55.830002,50.665485,551600,259
2015-03-12,56.09,57.240002,56.009998,57.18,51.890594,366000,260
2015-03-13,57.16,57.25,56.279999,56.740002,51.491295,254700,261
2015-03-16,57,57.919998,56.990002,57.900002,52.543991,280900,262
2015-03-17,57.810001,58.580002,57.810001,58.41,53.006817,490600,263
2015-03-18,58.32,58.860001,58.220001,58.700001,53.269993,564400,264
2015-03-19,58.68,58.790001,58.279999,58.619999,53.197388,589400,265
2015-03-20,58.799999,59.869999,58.509998,59.689999,54.168411,1147000,266
2015-03-23,59.689999,60.18,59.18,60.18,54.613083,526100,267
2015-03-24,60.16,60.16,59.639999,59.779999,54.250084,524700,268
2015-03-25,59.959999,60.189999,59.240002,59.32,53.83263,1031700,269
2015-03-26,59.169998,60.009998,59.09,59.82,54.286388,603100,270
2015-03-27,59.18,59.689999,58.889999,59.580002,54.068581,712200,271
2015-03-30,60,61.290001,59.82,60.919998,55.28463,502300,272
2015-03-31,60.889999,61.41,60.57,61.310001,55.638565,633000,273
2015-04-01,61.18,61.509998,60.43,61.040001,55.393532,748700,274
2015-04-02,61.110001,61.560001,60.91,61.509998,55.820045,513000,275
2015-04-06,61.209999,62.349998,61.110001,62.119999,56.373619,775100,276
2015-04-07,62.09,62.119999,61.169998,61.279999,55.61134,543600,277
2015-04-08,61.299999,62.009998,61.189999,61.830002,56.110455,696200,278
2015-04-09,61.720001,61.990002,60.68,60.75,55.130344,772700,279
2015-04-10,60.77,61,60.299999,60.599998,54.994228,651200,280
2015-04-13,60.509998,60.959999,60.290001,60.32,54.740143,552600,281
2015-04-14,60.459999,61.130001,60.02,61.07,55.42075,1538100,282
2015-04-15,61.099998,61.099998,60.68,61,55.357235,1267400,283
2015-04-16,60.849998,61.41,60.540001,61.200001,55.538738,285600,284
2015-04-17,61,61.099998,60.610001,60.889999,55.257404,858300,285
